seed,run_id,block_scheme,block_id,source_file,window_count,benign_support,attack_support,attack_families,score_mean,score_std,benign_fpr,recall,precision,f1,threshold_margin_mean,wasserstein_to_calibration_benign
3,formal_tcn_wgan_gp_seed3,equal_order,B08,mixed,4389,771,3618,PortScan,0.14934810363773068,0.04534795532564806,0.01297016861219196,0.9800995024875622,0.9971878515185602,0.9885698355171453,0.008999512727295968,0.035862772805916696
3,formal_tcn_wgan_gp_seed3,equal_order,B09,mixed,4389,50,4339,PortScan,0.15388877707017543,0.020578091566915833,0.0,0.93961742336944,1.0,0.9688688212927756,0.013540186159740716,0.0515544496720704
3,formal_tcn_wgan_gp_seed3,equal_order,B10,mixed,4389,2093,2296,PortScan,0.10901703801230349,0.06078890280736527,0.02150023889154324,0.8606271777003485,0.9777337951509154,0.915450544359509,-0.03133155289813124,0.039131902748880405
3,formal_tcn_wgan_gp_seed3,source_file,Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,11924,11776,148,Bot,0.05662403502083193,0.02823206091279697,0.016304347826086956,0.0,0.0,0.0,-0.08372455588960279,0.03743419827836261
3,formal_tcn_wgan_gp_seed3,source_file,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,14099,5982,8117,DDoS,0.17929093852968297,0.09966749497892949,0.48010698762955534,0.5335715165701614,0.6012772455921144,0.5654046997389034,0.03894234761924824,0.052717771385085384
3,formal_tcn_wgan_gp_seed3,source_file,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,17874,7577,10297,PortScan,0.11566706456887098,0.05768888930640468,0.014781575821565264,0.9322132659998058,0.988466687261868,0.959516193522591,-0.024681526341563734,0.03894505776217836
4,formal_tcn_wgan_gp_seed4,equal_order,B01,mixed,4390,4390,0,,0.07280267687642368,0.03801660859871272,0.002733485193621868,0.0,0.0,0.0,-0.2099107959667465,0.11202721158091715
4,formal_tcn_wgan_gp_seed4,equal_order,B02,mixed,4390,4242,148,Bot,0.07893463109205011,0.04335735624085059,0.005657708628005658,0.0,0.0,0.0,-0.20377884175112004,0.10510312297847538
4,formal_tcn_wgan_gp_seed4,equal_order,B03,mixed,4390,4317,73,DDoS,0.10015129559043282,0.07278425745876013,0.045633541811443135,0.0,0.0,0.0,-0.18256217725273738,0.08670354309709367
4,formal_tcn_wgan_gp_seed4,equal_order,B04,mixed,4390,1093,3297,DDoS,0.2791930642252847,0.08394576780736913,0.6029277218664227,0.3991507430997877,0.6663291139240506,0.4992412746585736,-0.003520408617885427,0.1523569859702921
4,formal_tcn_wgan_gp_seed4,equal_order,B05,mixed,4390,1190,3200,DDoS,0.28743872237699314,0.08474469858414783,0.5319327731092437,0.464375,0.7012741859367626,0.5587516450460612,0.0047252495338230005,0.15700634613449085
4,formal_tcn_wgan_gp_seed4,equal_order,B06,mixed,4390,2843,1547,DDoS,0.19725264281685645,0.09919695571618034,0.18009145269081955,0.19457013574660634,0.37023370233702335,0.25508474576271184,-0.08546083002631369,0.0774651697690415
4,formal_tcn_wgan_gp_seed4,equal_order,B07,mixed,4390,4346,44,PortScan,0.073264697205877,0.03903635897131081,0.0048320294523699955,0.0,0.0,0.0,-0.20944877563729317,0.1114817320111622
4,formal_tcn_wgan_gp_seed4,equal_order,B08,mixed,4389,771,3618,PortScan,0.43995948944748237,0.1698704916931057,0.0025940337224383916,0.9925373134328358,0.9994433620929585,0.9959783663846901,0.15724601660431217,0.10695309164246791
4,formal_tcn_wgan_gp_seed4,equal_order,B09,mixed,4389,50,4339,PortScan,0.5090023537981316,0.07403792106985688,0.0,0.9746485365291542,1.0,0.9871615312791784,0.22628888095496152,0.12585328476120067
4,formal_tcn_wgan_gp_seed4,equal_order,B10,mixed,4389,2093,2296,PortScan,0.2870094906511506,0.2217100132523575,0.00047778308647873863,0.9111498257839721,0.9995222169135213,0.9532923217133742,0.004296017807980426,0.11304691627607885
4,formal_tcn_wgan_gp_seed4,source_file,Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,11924,11776,148,Bot,0.07577787304340826,0.04073424021621153,0.005010190217391304,0.0,0.0,0.0,-0.20693559979976192,0.10880589686092208
4,formal_tcn_wgan_gp_seed4,source_file,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,14099,5982,8117,DDoS,0.25038943436130223,0.09923442756929293,0.3301571380809094,0.38228409510903044,0.6110673493501378,0.4703296703296704,-0.03232403848186795,0.10186913365477927
4,formal_tcn_wgan_gp_seed4,source_file,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,17874,7577,10297,PortScan,0.32291248890850954,0.22238264282106895,0.003563415599841626,0.9626104690686608,0.99728342891639,0.9796402451077287,0.0401990160653394,0.11124621808275909
