seed,run_id,calibration_fraction,repeat_id,sample_size,target_fpr,threshold,calibration_empirical_fpr,test_benign_fpr,abs_test_fpr_minus_target_fpr,precision,recall,f1,tp,fp,tn,fn
2,formal_tcn_wgan_gp_seed2,1.0,5,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,6,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,7,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,8,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,9,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,10,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,11,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,12,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,13,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,14,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,15,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,16,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,17,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,18,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,19,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
3,formal_tcn_wgan_gp_seed3,0.05,0,830,0.01,0.2823919653892517,0.010843373493975903,0.016617327807381094,0.0066173278073810935,0.8611477572559367,0.1406637215817261,0.24182643326850048,2611,421,24914,15951
3,formal_tcn_wgan_gp_seed3,0.05,1,830,0.01,0.2909494936466217,0.010843373493975903,0.013420169725675942,0.003420169725675942,0.8788742429640185,0.13290593686025212,0.23089522205063406,2467,340,24995,16095
3,formal_tcn_wgan_gp_seed3,0.05,2,830,0.01,0.2985474467277527,0.010843373493975903,0.01113084665482534,0.0011308466548253394,0.8911196911196911,0.12434004956362461,0.2182299546142209,2308,282,25053,16254
3,formal_tcn_wgan_gp_seed3,0.05,3,830,0.01,0.28284215927124023,0.010843373493975903,0.016538385632524175,0.006538385632524174,0.8614876033057851,0.1403943540566749,0.24144160837541112,2606,419,24916,15956
3,formal_tcn_wgan_gp_seed3,0.05,4,830,0.01,0.2945011854171753,0.010843373493975903,0.012551805802249853,0.0025518058022498524,0.8826135105204873,0.1288115504794742,0.22481312585209912,2391,318,25017,16171
3,formal_tcn_wgan_gp_seed3,0.05,5,830,0.01,0.32004261016845703,0.010843373493975903,0.006512729425695678,0.0034872705743043226,0.9160732451678535,0.09702618252343498,0.1754676539360873,1801,165,25170,16761
3,formal_tcn_wgan_gp_seed3,0.05,6,830,0.01,0.28761404752731323,0.010843373493975903,0.014564831261101243,0.004564831261101243,0.8724948168624741,0.1360306001508458,0.23536539895600297,2525,369,24966,16037
3,formal_tcn_wgan_gp_seed3,0.05,7,830,0.01,0.2817671597003937,0.010843373493975903,0.01677521215709493,0.006775212157094928,0.860243341006248,0.1409330891067773,0.2421885849187613,2616,425,24910,15946
3,formal_tcn_wgan_gp_seed3,0.05,8,830,0.01,0.2700910270214081,0.010843373493975903,0.021906453522794554,0.011906453522794553,0.8320217917675545,0.14809826527313866,0.251440592700997,2749,555,24780,15813
3,formal_tcn_wgan_gp_seed3,0.05,9,830,0.01,0.3035847544670105,0.010843373493975903,0.009749358594829288,0.0002506414051707123,0.8987704918032787,0.11814459648744748,0.20883725359489572,2193,247,25088,16369
3,formal_tcn_wgan_gp_seed3,0.05,10,830,0.01,0.28916239738464355,0.010843373493975903,0.013972764949674364,0.003972764949674364,0.8755274261603375,0.13414502747548757,0.2326450527889377,2490,354,24981,16072
3,formal_tcn_wgan_gp_seed3,0.05,11,830,0.01,0.28131696581840515,0.010843373493975903,0.016933096506808763,0.006933096506808763,0.8596663395485771,0.14157957116690012,0.24311947823673621,2628,429,24906,15934
