time_step,feature_index,feature_name,abs_ig_attribution
5,65,Subflow Bwd Bytes,2.620494576888177e-08
5,66,Init_Win_bytes_forward,1.3238287465355825e-05
5,67,Init_Win_bytes_backward,1.2171174603281543e-05
5,68,act_data_pkt_fwd,4.522263452599873e-08
5,69,min_seg_size_forward,3.3224525353148238e-09
5,70,Active Mean,6.44556962470233e-07
5,71,Active Std,5.5905080564855325e-09
5,72,Active Max,5.892167791898828e-06
5,73,Active Min,7.247757594086579e-08
5,74,Idle Mean,2.7784308258560486e-05
5,75,Idle Std,4.530812930170214e-06
5,76,Idle Max,8.207766768464353e-06
5,77,Idle Min,5.2564322686521336e-05
6,0,Destination Port,0.00012164947838755324
6,1,Flow Duration,1.1331681889714673e-05
6,2,Total Fwd Packets,1.3151465338978596e-07
6,3,Total Backward Packets,2.1006498229780846e-07
6,4,Total Length of Fwd Packets,2.5716576601553243e-07
6,5,Total Length of Bwd Packets,1.378823668574114e-07
6,6,Fwd Packet Length Max,1.6771544324001297e-05
6,7,Fwd Packet Length Min,5.520309969142545e-06
6,8,Fwd Packet Length Mean,4.232828359818086e-06
6,9,Fwd Packet Length Std,5.408974175225012e-06
6,10,Bwd Packet Length Max,6.110556114435894e-06
6,11,Bwd Packet Length Min,3.707564928845386e-06
6,12,Bwd Packet Length Mean,3.806019958574325e-05
6,13,Bwd Packet Length Std,3.6841190649283817e-06
6,14,Flow Bytes/s,1.3202998161432333e-06
6,15,Flow Packets/s,1.7678747099125758e-05
6,16,Flow IAT Mean,6.710422167088836e-05
6,17,Flow IAT Std,2.5781522708712146e-05
6,18,Flow IAT Max,4.435541632119566e-05
6,19,Flow IAT Min,1.2452662758732913e-06
6,20,Fwd IAT Total,2.667053195182234e-06
6,21,Fwd IAT Mean,4.029435513075441e-05
6,22,Fwd IAT Std,1.3408268841885729e-06
6,23,Fwd IAT Max,4.565927156363614e-05
6,24,Fwd IAT Min,1.9711213099071756e-05
6,25,Bwd IAT Total,9.646216494729742e-05
